"","body_mass_g","species","sex"
"1",3750,"Adelie","MALE"
"2",3800,"Adelie","FEMALE"
"3",3250,"Adelie","FEMALE"
"4",3450,"Adelie","FEMALE"
"5",3650,"Adelie","MALE"
"6",3625,"Adelie","FEMALE"
"7",4675,"Adelie","MALE"
"8",3200,"Adelie","FEMALE"
"9",3800,"Adelie","MALE"
"10",4400,"Adelie","MALE"
"11",3700,"Adelie","FEMALE"
"12",3450,"Adelie","FEMALE"
"13",4500,"Adelie","MALE"
"14",3325,"Adelie","FEMALE"
"15",4200,"Adelie","MALE"
"16",3400,"Adelie","FEMALE"
"17",3600,"Adelie","MALE"
"18",3800,"Adelie","FEMALE"
"19",3950,"Adelie","MALE"
"20",3800,"Adelie","MALE"
"21",3800,"Adelie","FEMALE"
"22",3550,"Adelie","MALE"
"23",3200,"Adelie","FEMALE"
"24",3150,"Adelie","FEMALE"
"25",3950,"Adelie","MALE"
"26",3250,"Adelie","FEMALE"
"27",3900,"Adelie","MALE"
"28",3300,"Adelie","FEMALE"
"29",3900,"Adelie","MALE"
"30",3325,"Adelie","FEMALE"
"31",4150,"Adelie","MALE"
"32",3950,"Adelie","MALE"
"33",3550,"Adelie","FEMALE"
"34",3300,"Adelie","FEMALE"
"35",4650,"Adelie","MALE"
"36",3150,"Adelie","FEMALE"
"37",3900,"Adelie","MALE"
"38",3100,"Adelie","FEMALE"
"39",4400,"Adelie","MALE"
"40",3000,"Adelie","FEMALE"
"41",4600,"Adelie","MALE"
"42",3425,"Adelie","MALE"
"43",3450,"Adelie","FEMALE"
"44",4150,"Adelie","MALE"
"45",3500,"Adelie","FEMALE"
"46",4300,"Adelie","MALE"
"47",3450,"Adelie","FEMALE"
"48",4050,"Adelie","MALE"
"49",2900,"Adelie","FEMALE"
"50",3700,"Adelie","MALE"
"51",3550,"Adelie","FEMALE"
"52",3800,"Adelie","MALE"
"53",2850,"Adelie","FEMALE"
"54",3750,"Adelie","MALE"
"55",3150,"Adelie","FEMALE"
"56",4400,"Adelie","MALE"
"57",3600,"Adelie","FEMALE"
"58",4050,"Adelie","MALE"
"59",2850,"Adelie","FEMALE"
"60",3950,"Adelie","MALE"
"61",3350,"Adelie","FEMALE"
"62",4100,"Adelie","MALE"
"63",3050,"Adelie","FEMALE"
"64",4450,"Adelie","MALE"
"65",3600,"Adelie","FEMALE"
"66",3900,"Adelie","MALE"
"67",3550,"Adelie","FEMALE"
"68",4150,"Adelie","MALE"
"69",3700,"Adelie","FEMALE"
"70",4250,"Adelie","MALE"
"71",3700,"Adelie","FEMALE"
"72",3900,"Adelie","MALE"
"73",3550,"Adelie","FEMALE"
"74",4000,"Adelie","MALE"
"75",3200,"Adelie","FEMALE"
"76",4700,"Adelie","MALE"
"77",3800,"Adelie","FEMALE"
"78",4200,"Adelie","MALE"
"79",3350,"Adelie","FEMALE"
"80",3550,"Adelie","MALE"
"81",3800,"Adelie","MALE"
"82",3500,"Adelie","FEMALE"
"83",3950,"Adelie","MALE"
"84",3600,"Adelie","FEMALE"
"85",3550,"Adelie","FEMALE"
"86",4300,"Adelie","MALE"
"87",3400,"Adelie","FEMALE"
"88",4450,"Adelie","MALE"
"89",3300,"Adelie","FEMALE"
"90",4300,"Adelie","MALE"
"91",3700,"Adelie","FEMALE"
"92",4350,"Adelie","MALE"
"93",2900,"Adelie","FEMALE"
"94",4100,"Adelie","MALE"
"95",3725,"Adelie","FEMALE"
"96",4725,"Adelie","MALE"
"97",3075,"Adelie","FEMALE"
"98",4250,"Adelie","MALE"
"99",2925,"Adelie","FEMALE"
"100",3550,"Adelie","MALE"
"101",3750,"Adelie","FEMALE"
"102",3900,"Adelie","MALE"
"103",3175,"Adelie","FEMALE"
"104",4775,"Adelie","MALE"
"105",3825,"Adelie","FEMALE"
"106",4600,"Adelie","MALE"
"107",3200,"Adelie","FEMALE"
"108",4275,"Adelie","MALE"
"109",3900,"Adelie","FEMALE"
"110",4075,"Adelie","MALE"
"111",2900,"Adelie","FEMALE"
"112",3775,"Adelie","MALE"
"113",3350,"Adelie","FEMALE"
"114",3325,"Adelie","MALE"
"115",3150,"Adelie","FEMALE"
"116",3500,"Adelie","MALE"
"117",3450,"Adelie","FEMALE"
"118",3875,"Adelie","MALE"
"119",3050,"Adelie","FEMALE"
"120",4000,"Adelie","MALE"
"121",3275,"Adelie","FEMALE"
"122",4300,"Adelie","MALE"
"123",3050,"Adelie","FEMALE"
"124",4000,"Adelie","MALE"
"125",3325,"Adelie","FEMALE"
"126",3500,"Adelie","MALE"
"127",3500,"Adelie","FEMALE"
"128",4475,"Adelie","MALE"
"129",3425,"Adelie","FEMALE"
"130",3900,"Adelie","MALE"
"131",3175,"Adelie","FEMALE"
"132",3975,"Adelie","MALE"
"133",3400,"Adelie","FEMALE"
"134",4250,"Adelie","MALE"
"135",3400,"Adelie","FEMALE"
"136",3475,"Adelie","MALE"
"137",3050,"Adelie","FEMALE"
"138",3725,"Adelie","MALE"
"139",3000,"Adelie","FEMALE"
"140",3650,"Adelie","MALE"
"141",4250,"Adelie","MALE"
"142",3475,"Adelie","FEMALE"
"143",3450,"Adelie","FEMALE"
"144",3750,"Adelie","MALE"
"145",3700,"Adelie","FEMALE"
"146",4000,"Adelie","MALE"
"147",4500,"Gentoo","FEMALE"
"148",5700,"Gentoo","MALE"
"149",4450,"Gentoo","FEMALE"
"150",5700,"Gentoo","MALE"
"151",5400,"Gentoo","MALE"
"152",4550,"Gentoo","FEMALE"
"153",4800,"Gentoo","FEMALE"
"154",5200,"Gentoo","MALE"
"155",4400,"Gentoo","FEMALE"
"156",5150,"Gentoo","MALE"
"157",4650,"Gentoo","FEMALE"
"158",5550,"Gentoo","MALE"
"159",4650,"Gentoo","FEMALE"
"160",5850,"Gentoo","MALE"
"161",4200,"Gentoo","FEMALE"
"162",5850,"Gentoo","MALE"
"163",4150,"Gentoo","FEMALE"
"164",6300,"Gentoo","MALE"
"165",4800,"Gentoo","FEMALE"
"166",5350,"Gentoo","MALE"
"167",5700,"Gentoo","MALE"
"168",5000,"Gentoo","FEMALE"
"169",4400,"Gentoo","FEMALE"
"170",5050,"Gentoo","MALE"
"171",5000,"Gentoo","FEMALE"
"172",5100,"Gentoo","MALE"
"173",5650,"Gentoo","MALE"
"174",4600,"Gentoo","FEMALE"
"175",5550,"Gentoo","MALE"
"176",5250,"Gentoo","MALE"
"177",4700,"Gentoo","FEMALE"
"178",5050,"Gentoo","FEMALE"
"179",6050,"Gentoo","MALE"
"180",5150,"Gentoo","FEMALE"
"181",5400,"Gentoo","MALE"
"182",4950,"Gentoo","FEMALE"
"183",5250,"Gentoo","MALE"
"184",4350,"Gentoo","FEMALE"
"185",5350,"Gentoo","MALE"
"186",3950,"Gentoo","FEMALE"
"187",5700,"Gentoo","MALE"
"188",4300,"Gentoo","FEMALE"
"189",4750,"Gentoo","MALE"
"190",5550,"Gentoo","MALE"
"191",4900,"Gentoo","FEMALE"
"192",4200,"Gentoo","FEMALE"
"193",5400,"Gentoo","MALE"
"194",5100,"Gentoo","FEMALE"
"195",5300,"Gentoo","MALE"
"196",4850,"Gentoo","FEMALE"
"197",5300,"Gentoo","MALE"
"198",4400,"Gentoo","FEMALE"
"199",5000,"Gentoo","MALE"
"200",4900,"Gentoo","FEMALE"
"201",5050,"Gentoo","MALE"
"202",4300,"Gentoo","FEMALE"
"203",5000,"Gentoo","MALE"
"204",4450,"Gentoo","FEMALE"
"205",5550,"Gentoo","MALE"
"206",4200,"Gentoo","FEMALE"
"207",5300,"Gentoo","MALE"
"208",4400,"Gentoo","FEMALE"
"209",5650,"Gentoo","MALE"
"210",4700,"Gentoo","FEMALE"
"211",5700,"Gentoo","MALE"
"212",5800,"Gentoo","MALE"
"213",4700,"Gentoo","FEMALE"
"214",5550,"Gentoo","MALE"
"215",4750,"Gentoo","FEMALE"
"216",5000,"Gentoo","MALE"
"217",5100,"Gentoo","MALE"
"218",5200,"Gentoo","FEMALE"
"219",4700,"Gentoo","FEMALE"
"220",5800,"Gentoo","MALE"
"221",4600,"Gentoo","FEMALE"
"222",6000,"Gentoo","MALE"
"223",4750,"Gentoo","FEMALE"
"224",5950,"Gentoo","MALE"
"225",4625,"Gentoo","FEMALE"
"226",5450,"Gentoo","MALE"
"227",4725,"Gentoo","FEMALE"
"228",5350,"Gentoo","MALE"
"229",4750,"Gentoo","FEMALE"
"230",5600,"Gentoo","MALE"
"231",4600,"Gentoo","FEMALE"
"232",5300,"Gentoo","MALE"
"233",4875,"Gentoo","FEMALE"
"234",5550,"Gentoo","MALE"
"235",4950,"Gentoo","FEMALE"
"236",5400,"Gentoo","MALE"
"237",4750,"Gentoo","FEMALE"
"238",5650,"Gentoo","MALE"
"239",4850,"Gentoo","FEMALE"
"240",5200,"Gentoo","MALE"
"241",4925,"Gentoo","MALE"
"242",4875,"Gentoo","FEMALE"
"243",4625,"Gentoo","FEMALE"
"244",5250,"Gentoo","MALE"
"245",4850,"Gentoo","FEMALE"
"246",5600,"Gentoo","MALE"
"247",4975,"Gentoo","FEMALE"
"248",5500,"Gentoo","MALE"
"249",5500,"Gentoo","MALE"
"250",4700,"Gentoo","FEMALE"
"251",5500,"Gentoo","MALE"
"252",4575,"Gentoo","FEMALE"
"253",5500,"Gentoo","MALE"
"254",5000,"Gentoo","FEMALE"
"255",5950,"Gentoo","MALE"
"256",4650,"Gentoo","FEMALE"
"257",5500,"Gentoo","MALE"
"258",4375,"Gentoo","FEMALE"
"259",5850,"Gentoo","MALE"
"260",6000,"Gentoo","MALE"
"261",4925,"Gentoo","FEMALE"
"262",4850,"Gentoo","FEMALE"
"263",5750,"Gentoo","MALE"
"264",5200,"Gentoo","FEMALE"
"265",5400,"Gentoo","MALE"
"266",3500,"Chinstrap","FEMALE"
"267",3900,"Chinstrap","MALE"
"268",3650,"Chinstrap","MALE"
"269",3525,"Chinstrap","FEMALE"
"270",3725,"Chinstrap","MALE"
"271",3950,"Chinstrap","FEMALE"
"272",3250,"Chinstrap","FEMALE"
"273",3750,"Chinstrap","MALE"
"274",4150,"Chinstrap","FEMALE"
"275",3700,"Chinstrap","MALE"
"276",3800,"Chinstrap","FEMALE"
"277",3775,"Chinstrap","MALE"
"278",3700,"Chinstrap","FEMALE"
"279",4050,"Chinstrap","MALE"
"280",3575,"Chinstrap","FEMALE"
"281",4050,"Chinstrap","MALE"
"282",3300,"Chinstrap","MALE"
"283",3700,"Chinstrap","FEMALE"
"284",3450,"Chinstrap","FEMALE"
"285",4400,"Chinstrap","MALE"
"286",3600,"Chinstrap","FEMALE"
"287",3400,"Chinstrap","MALE"
"288",2900,"Chinstrap","FEMALE"
"289",3800,"Chinstrap","MALE"
"290",3300,"Chinstrap","FEMALE"
"291",4150,"Chinstrap","MALE"
"292",3400,"Chinstrap","FEMALE"
"293",3800,"Chinstrap","MALE"
"294",3700,"Chinstrap","FEMALE"
"295",4550,"Chinstrap","MALE"
"296",3200,"Chinstrap","FEMALE"
"297",4300,"Chinstrap","MALE"
"298",3350,"Chinstrap","FEMALE"
"299",4100,"Chinstrap","MALE"
"300",3600,"Chinstrap","MALE"
"301",3900,"Chinstrap","FEMALE"
"302",3850,"Chinstrap","FEMALE"
"303",4800,"Chinstrap","MALE"
"304",2700,"Chinstrap","FEMALE"
"305",4500,"Chinstrap","MALE"
"306",3950,"Chinstrap","MALE"
"307",3650,"Chinstrap","FEMALE"
"308",3550,"Chinstrap","MALE"
"309",3500,"Chinstrap","FEMALE"
"310",3675,"Chinstrap","FEMALE"
"311",4450,"Chinstrap","MALE"
"312",3400,"Chinstrap","FEMALE"
"313",4300,"Chinstrap","MALE"
"314",3250,"Chinstrap","MALE"
"315",3675,"Chinstrap","FEMALE"
"316",3325,"Chinstrap","FEMALE"
"317",3950,"Chinstrap","MALE"
"318",3600,"Chinstrap","FEMALE"
"319",4050,"Chinstrap","MALE"
"320",3350,"Chinstrap","FEMALE"
"321",3450,"Chinstrap","MALE"
"322",3250,"Chinstrap","FEMALE"
"323",4050,"Chinstrap","MALE"
"324",3800,"Chinstrap","MALE"
"325",3525,"Chinstrap","FEMALE"
"326",3950,"Chinstrap","MALE"
"327",3650,"Chinstrap","FEMALE"
"328",3650,"Chinstrap","FEMALE"
"329",4000,"Chinstrap","MALE"
"330",3400,"Chinstrap","FEMALE"
"331",3775,"Chinstrap","MALE"
"332",4100,"Chinstrap","MALE"
"333",3775,"Chinstrap","FEMALE"
